,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,status
0,0.80723,-0.548646,0.217636,0.262318,0.663788,0.700409,-0.528741,-0.508302,0.67975,0.540587,-0.401944,-0.739057,0.729478,0.661559,0.173784,0.419078,-0.633071,0.65084,1.0
1,0.795926,-0.563814,0.220484,0.270569,0.657096,0.703574,-0.541565,-0.500337,0.675551,0.52958,-0.394961,-0.750699,0.730007,0.662921,0.166205,0.43201,-0.636035,0.639395,1.0
2,0.782776,-0.581297,0.222159,0.282186,0.649747,0.705832,-0.554645,-0.489818,0.672641,0.521561,-0.389495,-0.759122,0.728428,0.666539,0.15848,0.444258,-0.635624,0.63136,1.0
3,0.770705,-0.596133,0.225027,0.290112,0.642719,0.709045,-0.567315,-0.481182,0.668293,0.515975,-0.384655,-0.765381,0.728351,0.66729,0.155654,0.450859,-0.63778,0.624469,1.0
4,0.758233,-0.608501,0.234112,0.293697,0.639362,0.710604,-0.582085,-0.470045,0.6635,0.489383,-0.372828,-0.788354,0.731175,0.668099,0.137932,0.475274,-0.643927,0.599559,1.0
5,0.753421,-0.611854,0.240811,0.291827,0.639337,0.711396,-0.58923,-0.465706,0.660246,0.447824,-0.352056,-0.821894,0.735167,0.668169,0.11436,0.508903,-0.655442,0.558042,1.0
6,0.74206,-0.625507,0.241012,0.301109,0.632265,0.713843,-0.598898,-0.457144,0.657525,0.410078,-0.32552,-0.85198,0.735777,0.670076,0.098128,0.538949,-0.667108,0.514294,1.0
7,0.737119,-0.629049,0.246884,0.301172,0.63286,0.713289,-0.604937,-0.451424,0.655946,0.39374,-0.312016,-0.864646,0.733845,0.673158,0.09126,0.553569,-0.670449,0.494021,1.0
8,0.72405,-0.63779,0.262629,0.298971,0.633333,0.713795,-0.621584,-0.438306,0.649246,0.374952,-0.287547,-0.88132,0.737832,0.668134,0.095915,0.56126,-0.68623,0.46268,1.0
9,0.721725,-0.639963,0.26374,0.298769,0.631729,0.7153,-0.624379,-0.437452,0.647136,0.35563,-0.255899,-0.898912,0.731791,0.674519,0.097493,0.581385,-0.692487,0.427144,1.0
10,0.721752,-0.63998,0.263625,0.299071,0.631842,0.715074,-0.624203,-0.437264,0.647433,0.345512,-0.239587,-0.907314,0.729401,0.67688,0.099023,0.590419,-0.69601,0.408626,1.0
11,0.720235,-0.641261,0.264659,0.298079,0.630552,0.716625,-0.626425,-0.437249,0.645293,0.327,-0.201091,-0.92338,0.720211,0.68565,0.105733,0.611854,-0.699604,0.369035,1.0
12,0.718772,-0.642312,0.266087,0.296731,0.62953,0.718082,-0.628742,-0.437181,0.643082,0.320535,-0.155266,-0.934424,0.703662,0.699424,0.125159,0.634126,-0.697636,0.333445,1.0
13,0.712099,-0.649456,0.266685,0.302086,0.626322,0.718654,-0.633765,-0.431191,0.642195,0.317911,-0.130408,-0.939108,0.690625,0.710475,0.135134,0.649591,-0.691532,0.315931,1.0
14,0.709183,-0.651089,0.270448,0.300312,0.626034,0.719647,-0.637864,-0.429143,0.639503,0.312295,-0.086356,-0.946051,0.679594,0.716157,0.158966,0.663794,-0.692576,0.282339,1.0
15,0.707729,-0.650212,0.276303,0.297183,0.628807,0.718529,-0.640937,-0.426411,0.638257,0.317118,-0.034355,-0.947763,0.652066,0.733555,0.191589,0.688654,-0.678761,0.255025,1.0
16,0.706943,-0.649919,0.278992,0.295638,0.629889,0.718218,-0.642518,-0.425258,0.637437,0.318312,-0.00187,-0.947983,0.625906,0.75146,0.208683,0.711982,-0.659775,0.240369,1.0
17,0.705823,-0.651432,0.278297,0.295709,0.627943,0.71989,-0.643715,-0.42582,0.635851,0.321456,0.059347,-0.945062,0.579612,0.776894,0.245938,0.748809,-0.626828,0.215339,1.0
18,0.705708,-0.651286,0.278928,0.295361,0.628284,0.719736,-0.644001,-0.425539,0.63575,0.336922,0.10827,-0.935286,0.560293,0.775274,0.291583,0.756673,-0.622275,0.200544,1.0
19,0.705481,-0.650899,0.280404,0.294427,0.629052,0.719449,-0.644677,-0.424999,0.635426,0.348789,0.141748,-0.926419,0.544152,0.774183,0.323323,0.763049,-0.616885,0.192894,1.0
20,0.705371,-0.650699,0.281142,0.293973,0.629449,0.719286,-0.645004,-0.424715,0.635284,0.355362,0.153562,-0.922027,0.534544,0.775811,0.33523,0.766798,-0.611993,0.193608,1.0
21,0.705203,-0.650359,0.282347,0.293231,0.630111,0.71901,-0.645525,-0.424256,0.635061,0.371632,0.16138,-0.914245,0.5264,0.774541,0.350696,0.764716,-0.611589,0.202893,1.0
22,0.703704,-0.651693,0.283012,0.292404,0.628677,0.720601,-0.647533,-0.424336,0.63296,0.377958,0.171175,-0.90986,0.511,0.780936,0.35919,0.772027,-0.600697,0.20769,1.0
23,0.703671,-0.6516,0.28331,0.292284,0.628891,0.720462,-0.647624,-0.424161,0.632984,0.378216,0.174796,-0.909064,0.496705,0.790361,0.358625,0.781176,-0.587174,0.212105,1.0
24,0.703553,-0.651356,0.284162,0.291924,0.629471,0.720101,-0.647914,-0.423675,0.633013,0.375411,0.168673,-0.911381,0.488651,0.799525,0.349253,0.787582,-0.576461,0.217728,1.0
25,0.701871,-0.65296,0.28464,0.291262,0.627757,0.721863,-0.650033,-0.42375,0.630787,0.369575,0.164141,-0.914587,0.484651,0.805734,0.340448,0.792796,-0.569077,0.218228,1.0
26,0.699353,-0.655678,0.284589,0.290501,0.624518,0.724973,-0.653079,-0.424339,0.627234,0.362139,0.169581,-0.916568,0.46714,0.817897,0.335893,0.806619,-0.549805,0.216974,1.0
27,0.698295,-0.656706,0.284815,0.290052,0.623356,0.726152,-0.65441,-0.424457,0.625766,0.362252,0.168927,-0.916644,0.462809,0.821043,0.334208,0.809061,-0.545298,0.219244,1.0
28,0.695831,-0.658053,0.287723,0.287898,0.622586,0.727668,-0.657977,-0.423499,0.622667,0.357005,0.174892,-0.917583,0.450456,0.828316,0.333137,0.818312,-0.532263,0.216932,1.0
29,0.693285,-0.658455,0.292904,0.284657,0.623591,0.728082,-0.662062,-0.421391,0.61976,0.345456,0.179542,-0.921099,0.435835,0.838556,0.326911,0.831087,-0.514381,0.211433,1.0
30,0.692676,-0.658988,0.293146,0.284154,0.622909,0.728862,-0.662915,-0.421566,0.618728,0.334579,0.187054,-0.923616,0.415328,0.850509,0.322701,0.845907,-0.491573,0.206874,1.0
