,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,status
0,0.938472,-0.317973,-0.134765,0.312046,0.613542,0.725391,-0.147971,-0.722812,0.675015,0.993586,-0.098593,0.055361,0.044897,0.79335,0.607107,-0.103777,-0.600727,0.792689,1.0
1,0.939748,-0.31421,-0.1347,0.309422,0.614226,0.725936,-0.14536,-0.723876,0.674442,0.993605,-0.099027,0.05423,0.045927,0.793287,0.607112,-0.103141,-0.60074,0.792762,1.0
2,0.939322,-0.315673,-0.134251,0.309836,0.612781,0.72698,-0.147221,-0.724465,0.673406,0.993485,-0.099261,0.055976,0.044996,0.792985,0.607575,-0.104696,-0.601099,0.792286,1.0
3,0.938938,-0.316863,-0.134138,0.310237,0.610984,0.72832,-0.148821,-0.725462,0.671979,0.993495,-0.099456,0.055454,0.045466,0.79295,0.607587,-0.104401,-0.601114,0.792314,1.0
4,0.937971,-0.319774,-0.133991,0.311452,0.607317,0.730865,-0.152337,-0.727262,0.66924,0.993513,-0.099875,0.05436,0.04646,0.792872,0.607613,-0.103786,-0.601146,0.79237,1.0
5,0.938457,-0.318379,-0.133909,0.309668,0.603863,0.734475,-0.152979,-0.730741,0.665292,0.993394,-0.10015,0.056012,0.045616,0.792562,0.608082,-0.105292,-0.60151,0.791895,1.0
6,0.937923,-0.319952,-0.133898,0.310466,0.60237,0.735364,-0.154626,-0.731286,0.664312,0.993404,-0.100344,0.055483,0.046091,0.792526,0.608092,-0.10499,-0.601524,0.791924,1.0
7,0.938074,-0.319616,-0.133644,0.309091,0.59796,0.73953,-0.156452,-0.735043,0.659722,0.993275,-0.100432,0.057588,0.044826,0.792266,0.608526,-0.106741,-0.601853,0.791441,1.0
8,0.935406,-0.327212,-0.133962,0.312501,0.58787,0.746157,-0.1654,-0.739824,0.652151,0.993291,-0.100733,0.056792,0.045547,0.79221,0.608546,-0.106292,-0.601876,0.791483,1.0
9,0.934005,-0.33086,-0.134778,0.313349,0.577475,0.753879,-0.171597,-0.746359,0.64304,0.993313,-0.101203,0.05556,0.046664,0.792121,0.608577,-0.1056,-0.601914,0.791547,1.0
10,0.932256,-0.335604,-0.135153,0.31546,0.571107,0.757839,-0.177148,-0.749136,0.638289,0.99318,-0.101275,0.057755,0.045331,0.791861,0.609016,-0.107412,-0.602244,0.791052,1.0
11,0.929484,-0.345844,-0.128254,0.313958,0.559263,0.767238,-0.193617,-0.753402,0.628407,0.993201,-0.101656,0.056714,0.046269,0.791823,0.608995,-0.106816,-0.60223,0.791144,1.0
12,0.927996,-0.353061,-0.119041,0.309644,0.5531,0.773434,-0.207228,-0.754604,0.622598,0.993062,-0.101622,0.059152,0.044704,0.791585,0.609421,-0.108755,-0.602549,0.790637,1.0
13,0.927785,-0.355154,-0.114362,0.306875,0.552009,0.775314,-0.212228,-0.754421,0.621134,0.993068,-0.101722,0.058886,0.044942,0.79155,0.609448,-0.108606,-0.602577,0.790635,1.0
14,0.923623,-0.368457,-0.105637,0.307834,0.548838,0.777183,-0.228381,-0.750343,0.620343,0.993087,-0.102097,0.057909,0.04583,0.791479,0.609475,-0.108059,-0.602608,0.790687,1.0
15,0.919824,-0.379198,-0.100657,0.310555,0.54695,0.777432,-0.239747,-0.74636,0.620859,0.992744,-0.103945,0.060436,0.045969,0.792569,0.608047,-0.111103,-0.600858,0.791597,1.0
16,0.913477,-0.396442,-0.091605,0.314094,0.543934,0.778125,-0.258654,-0.739573,0.621392,0.992766,-0.104224,0.059595,0.046695,0.792492,0.608092,-0.110606,-0.60091,0.791626,1.0
17,0.906725,-0.412815,-0.086207,0.31993,0.540166,0.778373,-0.274758,-0.733351,0.621854,0.992772,-0.10432,0.059333,0.046929,0.792472,0.6081,-0.110457,-0.60092,0.79164,1.0
18,0.901629,-0.425315,-0.078555,0.3211,0.536569,0.780376,-0.289755,-0.728834,0.620356,0.992794,-0.10474,0.058217,0.047936,0.792388,0.60813,-0.109826,-0.600958,0.791699,1.0
19,0.879628,-0.4711,-0.065707,0.337751,0.521341,0.783662,-0.334927,-0.711525,0.617701,0.992664,-0.104912,0.060094,0.046871,0.792092,0.608599,-0.111449,-0.601318,0.791199,1.0
20,0.859968,-0.507596,-0.052917,0.349773,0.510708,0.785388,-0.371635,-0.693918,0.616736,0.992675,-0.105122,0.059534,0.047376,0.79205,0.608614,-0.111133,-0.601336,0.791229,1.0
21,0.823638,-0.566327,-0.029868,0.367442,0.492792,0.788759,-0.431978,-0.660627,0.613975,0.992699,-0.105612,0.058257,0.048536,0.791953,0.608649,-0.110417,-0.601378,0.791297,1.0
22,0.781542,-0.623825,-0.005765,0.382071,0.471321,0.794906,-0.493165,-0.623456,0.606703,0.992571,-0.105897,0.059899,0.0477,0.791636,0.609127,-0.111923,-0.601745,0.790806,1.0
23,0.754133,-0.656628,0.010998,0.387353,0.458271,0.799964,-0.53032,-0.59902,0.599945,0.992435,-0.106096,0.061775,0.046653,0.791337,0.609597,-0.11356,-0.602104,0.7903,1.0
24,0.746075,-0.665727,0.013383,0.391797,0.455159,0.799578,-0.538392,-0.591301,0.600412,0.992444,-0.106299,0.061262,0.047127,0.791313,0.609591,-0.113276,-0.602098,0.790344,1.0
25,0.714664,-0.69901,0.025287,0.405591,0.443586,0.799203,-0.569868,-0.560906,0.600527,0.992307,-0.106601,0.062935,0.046284,0.791005,0.610055,-0.114814,-0.60245,0.789854,1.0
26,0.693076,-0.719908,0.037105,0.413787,0.439458,0.797281,-0.590275,-0.537223,0.602466,0.992332,-0.107048,0.061771,0.04735,0.790953,0.61004,-0.114162,-0.602438,0.789958,1.0
27,0.685447,-0.726997,0.040452,0.418098,0.438471,0.795573,-0.596117,-0.528411,0.604505,0.992345,-0.107345,0.061046,0.048031,0.790927,0.610021,-0.113766,-0.60242,0.790029,1.0
28,0.655586,-0.753489,0.049595,0.432062,0.428166,0.793723,-0.619297,-0.498926,0.606254,0.99222,-0.107915,0.062076,0.047819,0.790729,0.610295,-0.114945,-0.602578,0.789738,1.0
29,0.630127,-0.77402,0.061902,0.443123,0.423917,0.789896,-0.637637,-0.470305,0.610108,0.992083,-0.108353,0.063482,0.047293,0.790656,0.61043,-0.116334,-0.602595,0.789521,1.0
30,0.599446,-0.796755,0.076445,0.455362,0.418016,0.78607,-0.658261,-0.436397,0.613391,0.992733,-0.102975,0.062266,0.043938,0.791882,0.609091,-0.112028,-0.601928,0.790652,1.0
31,0.58451,-0.806947,0.084756,0.458708,0.414802,0.785828,-0.669278,-0.420446,0.612609,0.99335,-0.097469,0.061265,0.040306,0.79293,0.607977,-0.107838,-0.601465,0.791586,1.0
32,0.546184,-0.83149,0.101517,0.469435,0.404202,0.785016,-0.693768,-0.381108,0.611099,0.994492,-0.086431,0.059277,0.032996,0.795038,0.605661,-0.099475,-0.600369,0.793511,1.0
33,0.512882,-0.848839,0.128157,0.472434,0.403737,0.783455,-0.716769,-0.341275,0.60809,0.995516,-0.075433,0.057068,0.025826,0.797177,0.603192,-0.090994,-0.599013,0.795551,1.0
34,0.492305,-0.859383,0.138185,0.477395,0.399335,0.782703,-0.727825,-0.31936,0.60686,0.99613,-0.068509,0.055052,0.021419,0.796746,0.603934,-0.085237,-0.600417,0.79513,1.0
35,0.465469,-0.87118,0.156151,0.482765,0.397782,0.780196,-0.741806,-0.287773,0.605731,0.997597,-0.049222,0.048755,0.009912,0.797892,0.602718,-0.068568,-0.600787,0.796462,1.0
36,0.438037,-0.880801,0.179756,0.485104,0.399951,0.777632,-0.756833,-0.253431,0.602474,0.998152,-0.039475,0.046178,0.003435,0.795573,0.605847,-0.060653,-0.604569,0.794239,1.0
37,0.413885,-0.884085,0.217006,0.479858,0.414454,0.773281,-0.773586,-0.215917,0.595771,0.99879,-0.026251,0.041569,-0.004248,0.796274,0.604921,-0.04898,-0.604366,0.795199,1.0
38,0.41317,-0.881865,0.227161,0.475425,0.42164,0.772132,-0.776698,-0.211024,0.59347,0.999097,-0.019577,0.037676,-0.007226,0.796014,0.605234,-0.041839,-0.60496,0.795155,1.0
39,0.396543,-0.885006,0.24396,0.47613,0.425482,0.769587,-0.78489,-0.189018,0.5901,0.999254,-0.013699,0.036088,-0.01091,0.796554,0.604468,-0.037026,-0.604411,0.795811,1.0
40,0.38142,-0.885014,0.266959,0.468745,0.434079,0.76932,-0.796741,-0.168298,0.580412,0.999388,-0.008633,0.03388,-0.013578,0.79714,0.603641,-0.032218,-0.603732,0.796535,1.0
41,0.372746,-0.886174,0.275236,0.464614,0.434988,0.771309,-0.803239,-0.159624,0.573869,0.999425,-0.009139,0.03263,-0.012418,0.797164,0.603634,-0.031528,-0.603692,0.796593,1.0
42,0.362025,-0.885928,0.289945,0.456623,0.439712,0.7734,-0.812669,-0.147595,0.563722,0.999564,-0.004529,0.029162,-0.013972,0.797768,0.602802,-0.025994,-0.602947,0.797357,1.0
43,0.359155,-0.882731,0.30297,0.449968,0.448191,0.772432,-0.81764,-0.141096,0.558171,0.999628,-0.005506,0.02668,-0.011694,0.797822,0.602779,-0.024605,-0.602867,0.797461,1.0
44,0.359232,-0.881865,0.305393,0.448978,0.450187,0.771848,-0.81815,-0.140158,0.557659,0.999672,-0.006244,0.024792,-0.009965,0.79785,0.602772,-0.023544,-0.602822,0.797527,1.0
45,0.359243,-0.881573,0.306225,0.448581,0.450853,0.77169,-0.818363,-0.139857,0.557423,0.999691,-0.006581,0.023933,-0.009178,0.797863,0.602768,-0.023062,-0.602802,0.797557,1.0
46,0.357663,-0.881795,0.307429,0.446131,0.450552,0.773284,-0.820392,-0.139421,0.554542,0.999761,-0.001447,0.021777,-0.011955,0.798467,0.601919,-0.018259,-0.602036,0.798259,1.0
47,0.358362,-0.882603,0.304281,0.44737,0.448419,0.773808,-0.819412,-0.141178,0.555546,0.999801,0.003517,0.019577,-0.014581,0.799032,0.60111,-0.013528,-0.601277,0.798925,1.0
48,0.35874,-0.883146,0.302253,0.448101,0.446992,0.774211,-0.818846,-0.142301,0.556093,0.999823,0.003254,0.018481,-0.013711,0.799059,0.601095,-0.012811,-0.601243,0.798963,1.0
49,0.360327,-0.885988,0.291871,0.451924,0.43952,0.776264,-0.816044,-0.147806,0.55877,0.999856,0.002575,0.016734,-0.012117,0.799112,0.601058,-0.011824,-0.601175,0.799029,1.0
50,0.381898,-0.878786,0.28616,0.44318,0.445839,0.7777,-0.811014,-0.170182,0.559726,0.999804,0.013587,0.014331,-0.019466,0.80025,0.599349,-0.003325,-0.599511,0.800358,1.0
51,0.398835,-0.873865,0.278009,0.437839,0.447842,0.779572,-0.805745,-0.189198,0.561228,0.999624,0.024628,0.012018,-0.026927,0.801278,0.597685,0.005091,-0.597784,0.80164,1.0
52,0.414508,-0.867294,0.275651,0.430424,0.453717,0.780304,-0.801821,-0.204796,0.561374,0.999642,0.024282,0.011129,-0.026118,0.801302,0.597688,0.005595,-0.597766,0.80165,1.0
