,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,status
0,-0.503669,-0.691157,0.518283,0.856414,-0.320681,0.40462,-0.113452,0.64766,0.753434,-0.488393,-0.626004,-0.607939,0.072393,-0.723344,0.686681,-0.869615,0.29136,0.398594,1.0
1,-0.497905,-0.683882,0.533287,0.861145,-0.317156,0.397292,-0.102566,0.657051,0.746835,-0.502324,-0.611848,-0.610992,0.063634,-0.730854,0.67956,-0.862334,0.30248,0.40606,1.0
2,-0.48845,-0.673714,0.554549,0.868165,-0.311285,0.386508,-0.087773,0.670231,0.736942,-0.518363,-0.590351,-0.618696,0.043302,-0.740677,0.670463,-0.854063,0.320753,0.409502,1.0
3,-0.484675,-0.672831,0.558916,0.870633,-0.309596,0.382292,-0.08418,0.671899,0.735843,-0.526806,-0.577882,-0.623319,0.033076,-0.746711,0.664324,-0.849341,0.329353,0.412486,1.0
4,-0.477676,-0.670386,0.567809,0.874964,-0.304801,0.376208,-0.079136,0.676519,0.73216,-0.548157,-0.539831,-0.638832,0.005569,-0.766149,0.642638,-0.836356,0.348709,0.422976,1.0
5,-0.473513,-0.670503,0.571148,0.877257,-0.301027,0.373902,-0.078771,0.678091,0.730744,-0.575862,-0.500114,-0.646736,-0.02149,-0.781536,0.623488,-0.817264,0.372942,0.43931,1.0
6,-0.461154,-0.671493,0.580029,0.883842,-0.289798,0.367205,-0.078485,0.681992,0.727135,-0.606841,-0.450723,-0.654669,-0.050666,-0.800055,0.597782,-0.793206,0.395928,0.46267,1.0
7,-0.450767,-0.669138,0.590815,0.889887,-0.284907,0.356269,-0.070066,0.686354,0.723883,-0.625411,-0.421045,-0.656948,-0.068231,-0.809188,0.583573,-0.777305,0.409798,0.477347,1.0
8,-0.424475,-0.662424,0.617263,0.904004,-0.271691,0.33009,-0.050955,0.698124,0.71416,-0.658264,-0.365523,-0.658088,-0.09756,-0.825407,0.556044,-0.746438,0.430227,0.507675,1.0
9,-0.390053,-0.658916,0.643184,0.920139,-0.25264,0.29919,-0.034647,0.70852,0.704839,-0.687022,-0.307329,-0.658444,-0.135073,-0.836345,0.5313,-0.713971,0.453953,0.533076,1.0
10,-0.36013,-0.656481,0.662825,0.932775,-0.241709,0.267405,-0.015336,0.714568,0.699396,-0.710217,-0.256211,-0.655703,-0.164686,-0.845107,0.508597,-0.684448,0.4692,0.558015,1.0
