,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,status
0,0.505813,-0.622441,0.597259,0.510069,0.774164,0.374832,-0.695688,0.115048,0.709071,0.648086,-0.619193,-0.443376,0.751231,0.615362,0.238702,0.125034,-0.487778,0.863966,1.0
1,0.505813,-0.621813,0.597914,0.510005,0.774568,0.374083,-0.695735,0.115723,0.708915,0.667488,-0.595501,-0.447031,0.729825,0.642288,0.234137,0.147694,-0.482539,0.863332,1.0
2,0.503834,-0.622437,0.598935,0.509161,0.774111,0.376172,-0.697785,0.115426,0.706945,0.673022,-0.587525,-0.449282,0.722912,0.650932,0.231697,0.156325,-0.480729,0.862821,1.0
3,0.500171,-0.623556,0.600838,0.508072,0.773206,0.379493,-0.701206,0.115458,0.703547,0.683713,-0.570875,-0.454574,0.708392,0.668809,0.225553,0.175261,-0.47623,0.861676,1.0
4,0.496595,-0.624371,0.602954,0.507418,0.772425,0.38195,-0.704216,0.116276,0.700399,0.697101,-0.544661,-0.466254,0.689033,0.688701,0.225664,0.198199,-0.478575,0.855383,1.0
5,0.493063,-0.625442,0.604739,0.5062,0.771576,0.385269,-0.707565,0.116157,0.697034,0.70104,-0.533692,-0.472984,0.682729,0.693857,0.229002,0.205967,-0.48346,0.850789,1.0
6,0.487538,-0.626466,0.608149,0.50416,0.770677,0.389716,-0.712831,0.116603,0.691574,0.701007,-0.521014,-0.486961,0.679279,0.695761,0.233444,0.217181,-0.494429,0.841647,1.0
7,0.481988,-0.62748,0.611519,0.502272,0.769751,0.39396,-0.71792,0.117265,0.686176,0.701734,-0.508314,-0.499184,0.674707,0.699157,0.236534,0.228774,-0.502788,0.833586,1.0
8,0.478963,-0.6281,0.613257,0.501221,0.769204,0.39636,-0.720674,0.117536,0.683237,0.703923,-0.501355,-0.503125,0.671341,0.70094,0.240799,0.231935,-0.507272,0.829988,1.0
9,0.47268,-0.629293,0.616897,0.499057,0.768119,0.401165,-0.726301,0.118245,0.677128,0.706667,-0.491356,-0.509107,0.666463,0.703866,0.245761,0.237587,-0.512972,0.82487,1.0
10,0.467443,-0.629779,0.620382,0.497195,0.767551,0.404552,-0.730953,0.119346,0.67191,0.705834,-0.490227,-0.511347,0.667235,0.702522,0.247507,0.237898,-0.515887,0.82296,1.0
