,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,status
0,-0.346896,0.809726,0.473292,-0.932285,-0.352846,-0.07965,0.102505,-0.468874,0.877296,0.258654,0.025244,-0.965639,0.165671,0.983686,0.070093,0.951656,-0.178108,0.250252,1.0
1,-0.29904,0.821991,0.484669,-0.949868,-0.304977,-0.068832,0.091234,-0.480955,0.871984,0.258655,0.025244,-0.965639,0.165671,0.983686,0.070093,0.951656,-0.178108,0.250253,1.0
2,-0.271053,0.823964,0.497607,-0.957444,-0.284036,-0.051212,0.099142,-0.490312,0.865889,0.258669,0.02526,-0.965635,0.165667,0.983686,0.07011,0.951653,-0.178109,0.250264,1.0
3,-0.252467,0.822866,0.509069,-0.960031,-0.278719,-0.025592,0.120828,-0.495183,0.860344,0.258711,0.025312,-0.965622,0.165653,0.983684,0.070167,0.951644,-0.178111,0.250297,1.0
4,-0.24086,0.823544,0.513575,-0.961392,-0.275004,-0.009898,0.133083,-0.496131,0.857987,0.258766,0.025369,-0.965606,0.165662,0.983677,0.070239,0.951627,-0.17814,0.25034,1.0
5,-0.209146,0.829091,0.518521,-0.964285,-0.262979,0.031547,0.162515,-0.493405,0.854482,0.256924,0.023304,-0.96615,0.16646,0.983701,0.067993,0.951987,-0.178294,0.248857,1.0
6,-0.159822,0.836658,0.523889,-0.966971,-0.239437,0.08739,0.198554,-0.492619,0.847291,0.243997,0.010465,-0.969719,0.15974,0.985849,0.050833,0.956529,-0.167306,0.238872,1.0
7,-0.127181,0.840122,0.527275,-0.967437,-0.222353,0.120931,0.218838,-0.494725,0.841044,0.231365,-0.001182,-0.972866,0.140872,0.9895,0.032299,0.962613,-0.144523,0.229103,1.0
8,-0.068602,0.847531,0.526293,-0.95916,-0.201139,0.198885,0.27442,-0.491156,0.826716,0.209686,-0.025182,-0.977444,0.125019,0.992153,0.001259,0.969743,-0.122463,0.211188,1.0
9,-0.01957,0.857872,0.513489,-0.937205,-0.19462,0.289428,0.348228,-0.47558,0.807811,0.200191,-0.035001,-0.979131,0.093021,0.995526,-0.016568,0.97533,-0.087763,0.202551,1.0
10,0.000946,0.86028,0.509819,-0.925166,-0.192755,0.326974,0.379559,-0.471977,0.79572,0.197532,-0.037275,-0.979587,0.0704,0.997235,-0.02375,0.977764,-0.064272,0.199611,1.0
11,0.04476,0.862051,0.504839,-0.897543,-0.187189,0.399218,0.438647,-0.470985,0.76535,0.196765,-0.036279,-0.979779,0.035169,0.998933,-0.029925,0.979819,-0.028569,0.197831,1.0
12,0.094845,0.861275,0.499208,-0.86892,-0.173082,0.463703,0.48578,-0.477752,0.731963,0.196312,-0.028481,-0.980127,-0.001578,0.999567,-0.029362,0.980539,0.007311,0.196182,1.0
13,0.130021,0.862958,0.488259,-0.835,-0.170245,0.523251,0.534667,-0.47573,0.698434,0.195922,-0.01978,-0.980419,-0.044339,0.998595,-0.029007,0.979616,0.049154,0.19477,1.0
14,0.143221,0.865741,0.479562,-0.815812,-0.171053,0.55244,0.560301,-0.470354,0.681784,0.190595,-0.013776,-0.981571,-0.074192,0.996839,-0.028396,0.97886,0.078237,0.18897,1.0
15,0.161403,0.870488,0.464971,-0.779647,-0.176391,0.600863,0.605061,-0.459495,0.650204,0.178024,-0.000849,-0.984025,-0.145072,0.989049,-0.027099,0.973273,0.147579,0.175951,1.0
