,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,status
0,0.60535,-0.664716,0.437838,0.178822,0.64959,0.738955,-0.775611,-0.369031,0.512095,-0.02668,-0.368718,-0.929157,0.711297,0.646088,-0.276812,0.702384,-0.668293,0.245031,1.0
1,0.604564,-0.665655,0.437498,0.178677,0.648566,0.739889,-0.776258,-0.36914,0.511037,-0.035021,-0.393428,-0.918687,0.725761,0.621951,-0.294017,0.687054,-0.677045,0.263754,1.0
2,0.604612,-0.66565,0.43744,0.178848,0.648618,0.739802,-0.776181,-0.369058,0.511212,-0.060254,-0.430754,-0.900454,0.748116,0.577724,-0.326428,0.660825,-0.693314,0.287444,1.0
3,0.604168,-0.665307,0.438573,0.178178,0.649235,0.739422,-0.77668,-0.368591,0.510791,-0.13775,-0.45301,-0.880798,0.781985,0.496039,-0.377418,0.607884,-0.740761,0.285918,1.0
4,0.603951,-0.665121,0.439154,0.177839,0.649561,0.739217,-0.776926,-0.368353,0.510588,-0.175409,-0.466958,-0.866706,0.794465,0.452784,-0.404736,0.581426,-0.759562,0.29156,1.0
5,0.603573,-0.664752,0.44023,0.177199,0.650178,0.738828,-0.777366,-0.367929,0.510224,-0.221818,-0.502329,-0.835739,0.799842,0.396491,-0.450606,0.557716,-0.768413,0.313835,1.0
6,0.60319,-0.664344,0.44137,0.176534,0.650852,0.738395,-0.777815,-0.367476,0.509867,-0.258558,-0.521373,-0.813213,0.81079,0.340512,-0.476099,0.525134,-0.782445,0.334682,1.0
7,0.602974,-0.664103,0.442027,0.176176,0.651256,0.738124,-0.778063,-0.367195,0.50969,-0.275369,-0.519435,-0.808924,0.822796,0.307825,-0.477755,0.49717,-0.797139,0.342623,1.0
8,0.602813,-0.663939,0.442493,0.175899,0.651525,0.737952,-0.778251,-0.367013,0.509534,-0.271485,-0.51593,-0.812472,0.825594,0.309037,-0.472113,0.494661,-0.798944,0.342049,1.0
9,0.602529,-0.663673,0.443279,0.175436,0.651974,0.737666,-0.778576,-0.366698,0.509266,-0.271565,-0.500385,-0.822111,0.825716,0.317686,-0.466119,0.494412,-0.805413,0.326903,1.0
10,0.602164,-0.663332,0.444284,0.174866,0.652558,0.737285,-0.778986,-0.366276,0.508941,-0.278946,-0.487679,-0.827259,0.827896,0.31438,-0.464491,0.486596,-0.814453,0.316052,1.0
11,0.602049,-0.663214,0.444616,0.174751,0.652789,0.737108,-0.779101,-0.366078,0.508908,-0.268839,-0.488764,-0.82996,0.832018,0.316273,-0.455759,0.485253,-0.813068,0.321634,1.0
12,0.601851,-0.663014,0.445182,0.174681,0.653242,0.736723,-0.77927,-0.365633,0.50897,-0.251472,-0.490196,-0.834547,0.838276,0.320692,-0.440964,0.483791,-0.810471,0.330274,1.0
13,0.601662,-0.662817,0.44573,0.174621,0.653685,0.736344,-0.779429,-0.365197,0.509039,-0.248449,-0.484836,-0.838574,0.840364,0.322652,-0.435526,0.481727,-0.812913,0.327276,1.0
14,0.601623,-0.66275,0.445882,0.174729,0.653876,0.736149,-0.779435,-0.364976,0.509188,-0.243133,-0.481102,-0.842274,0.845388,0.320663,-0.427192,0.475609,-0.815913,0.328754,1.0
15,0.601537,-0.662604,0.446215,0.175173,0.654391,0.735585,-0.779402,-0.364317,0.50971,-0.230206,-0.473673,-0.850081,0.84943,0.328434,-0.413036,0.474839,-0.817168,0.326744,1.0
16,0.599785,-0.664032,0.446451,0.174592,0.653115,0.736857,-0.78088,-0.364009,0.507663,-0.239024,-0.458222,-0.856095,0.845152,0.33593,-0.415775,0.478105,-0.822911,0.306971,1.0
17,0.599746,-0.66376,0.446908,0.17463,0.65361,0.736408,-0.780902,-0.363614,0.507913,-0.237131,-0.430255,-0.871004,0.845818,0.349588,-0.402962,0.47787,-0.832266,0.28102,1.0
18,0.600631,-0.664546,0.444545,0.175951,0.652244,0.737304,-0.779925,-0.36463,0.508686,-0.236638,-0.41299,-0.879455,0.846527,0.356615,-0.395243,0.476858,-0.838012,0.265218,1.0
19,0.602041,-0.665774,0.440783,0.177668,0.649898,0.738962,-0.778446,-0.366573,0.509553,-0.249901,-0.385739,-0.888118,0.842646,0.36518,-0.395716,0.476966,-0.847259,0.233783,1.0
20,0.606568,-0.669858,0.42821,0.184408,0.642461,0.743799,-0.773349,-0.372199,0.513223,-0.253769,-0.384931,-0.887371,0.851539,0.346226,-0.39371,0.458782,-0.855543,0.239922,1.0
21,0.606578,-0.67195,0.424906,0.185501,0.639327,0.746224,-0.773079,-0.373823,0.512449,-0.26014,-0.39074,-0.882977,0.855298,0.33113,-0.398519,0.448098,-0.858879,0.248059,1.0
