,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,status
0,-0.840622,0.470903,0.267588,-0.441612,-0.88195,0.164746,0.313579,0.020319,0.949344,0.193682,-0.695903,-0.691523,0.244558,-0.648372,0.720974,-0.950093,-0.308758,0.044611,1.0
1,-0.850517,0.44735,0.276581,-0.399672,-0.891565,0.213007,0.341879,0.070624,0.937086,0.18961,-0.696555,-0.691996,0.241318,-0.650103,0.720507,-0.951742,-0.303606,0.044825,1.0
2,-0.864928,0.416663,0.279805,-0.359378,-0.903315,0.23424,0.350352,0.102044,0.931042,0.185131,-0.69769,-0.692065,0.23799,-0.651444,0.720402,-0.95346,-0.298074,0.04544,1.0
3,-0.880602,0.377812,0.286001,-0.300079,-0.911746,0.280483,0.366731,0.161171,0.916259,0.180934,-0.696364,-0.694506,0.234377,-0.655286,0.718099,-0.955159,-0.292705,0.044648,1.0
4,-0.883311,0.360058,0.300196,-0.258625,-0.90839,0.32854,0.39099,0.212565,0.895512,0.181107,-0.694215,-0.696609,0.233969,-0.657572,0.71614,-0.955226,-0.292683,0.043333,1.0
5,-0.878658,0.357323,0.316669,-0.244757,-0.906572,0.343832,0.409942,0.224604,0.884024,0.181208,-0.692276,-0.69851,0.233536,-0.659661,0.714357,-0.955313,-0.292575,0.042135,1.0
6,-0.856546,0.36488,0.364951,-0.228761,-0.902354,0.365272,0.462596,0.229386,0.856379,0.178718,-0.692205,-0.699221,0.235207,-0.66,0.713495,-0.955372,-0.291977,0.044857,1.0
7,-0.846339,0.352419,0.399386,-0.200599,-0.905503,0.373928,0.493425,0.236353,0.837058,0.171676,-0.693178,-0.700021,0.233459,-0.661705,0.71249,-0.95709,-0.285744,0.048229,1.0
8,-0.842506,0.343998,0.414546,-0.187871,-0.908868,0.372374,0.504864,0.235846,0.830354,0.164728,-0.692296,-0.702559,0.23126,-0.665326,0.70983,-0.958844,-0.279403,0.050502,1.0
9,-0.842766,0.332014,0.423686,-0.174407,-0.91308,0.368601,0.509241,0.23675,0.827418,0.165043,-0.690318,-0.704429,0.230622,-0.667413,0.708077,-0.958943,-0.27932,0.049051,1.0
10,-0.843367,0.310815,0.43832,-0.150772,-0.919839,0.362163,0.515751,0.23935,0.822625,0.162617,-0.689994,-0.705311,0.232316,-0.667954,0.707011,-0.958949,-0.278827,0.051676,1.0
11,-0.842768,0.297455,0.448622,-0.136052,-0.924093,0.357128,0.520798,0.239941,0.819265,0.153823,-0.691883,-0.705433,0.225262,-0.670574,0.706814,-0.962078,-0.267631,0.052705,1.0
12,-0.841817,0.294307,0.452467,-0.132709,-0.925393,0.355014,0.523193,0.238811,0.818069,0.153926,-0.691595,-0.705692,0.22528,-0.670829,0.706566,-0.962057,-0.267737,0.052544,1.0
13,-0.839612,0.293705,0.456933,-0.128102,-0.924547,0.358889,0.527864,0.242794,0.813885,0.15143,-0.691135,-0.706683,0.226847,-0.671547,0.705382,-0.962085,-0.267126,0.05509,1.0
